label,spread,tick_volume,Bullish swing,Bearish swing,Bullish pinbar,Bearish pinbar,Inside bar,Outside bar,Bullish engulfing,Bearish engulfing
False,7,1014602,False,False,False,False,False,False,False,False
False,8,1171349,False,False,False,False,False,False,False,False
False,8,1150472,False,False,False,False,False,False,False,False
False,8,971268,False,True,False,False,False,False,False,False
False,8,948949,False,False,False,False,False,False,False,False
False,8,943750,False,False,False,False,False,False,False,False
False,8,897812,False,False,False,False,False,False,False,False
False,8,883127,False,False,False,False,False,False,False,False
False,8,1288374,False,False,False,False,False,False,False,False
True,7,1175430,False,False,True,False,False,False,False,False
False,7,1019903,True,False,False,False,False,False,False,False
True,5,866477,False,False,False,False,False,False,False,False
True,5,837519,False,False,False,False,False,False,False,False
False,7,1105255,False,False,False,False,False,False,False,False
True,8,1729897,False,False,False,False,False,True,False,False
True,4,1652760,True,True,False,False,True,False,False,False
True,5,1753273,False,False,False,False,False,True,False,False
True,7,1340042,True,False,False,False,False,False,False,False
True,5,1654474,False,False,False,False,False,False,False,False
False,6,1378150,False,False,False,False,False,False,False,False
True,7,1466068,False,False,False,False,False,True,False,False
False,6,1620097,True,True,False,False,True,False,False,False
False,5,1811397,False,False,True,False,False,False,False,False
False,4,2194663,True,False,False,False,True,False,False,False
True,4,2322427,False,False,False,False,False,False,False,False
False,2,2222807,False,False,False,False,False,False,False,False
False,4,2194943,True,False,False,False,True,False,False,False
True,3,1636281,False,False,False,False,False,False,False,False
True,4,1771091,False,False,True,False,False,False,False,False
True,4,1748617,True,False,False,False,False,False,False,False
False,5,1595899,False,True,False,False,True,False,False,False
False,5,1484306,False,False,True,False,False,False,False,False
True,5,1791217,False,False,False,False,False,False,False,False
False,5,1829608,False,False,False,False,False,False,False,False
True,4,1720739,False,False,False,False,False,False,False,False
True,4,1573184,True,False,False,False,True,False,False,False
True,4,1367528,False,False,False,False,False,False,False,False
True,2,1280791,False,True,False,False,True,False,False,False
True,3,1280478,False,False,True,False,False,False,False,False
True,3,989772,True,False,False,False,False,False,False,False
False,3,1178890,False,False,False,False,False,False,False,False
False,1,1000385,False,False,False,False,False,False,False,False
True,1,902833,False,True,False,False,False,False,False,False
False,1,1013686,False,False,False,False,False,True,False,False
True,1,1105511,True,False,False,False,False,False,False,False
True,1,1207940,False,False,False,True,False,False,False,False
False,1,1175882,False,True,False,False,False,False,False,False
True,1,941655,True,False,False,True,False,False,False,False
True,1,713383,False,False,False,False,False,True,False,False
True,1,791255,True,False,False,True,False,False,False,False
True,1,733298,False,True,True,False,False,False,False,False
False,1,732363,True,False,False,False,False,False,False,False
True,0,909525,False,True,False,False,False,False,False,False
False,0,711426,False,False,False,False,False,True,True,False
True,0,1239721,True,False,False,True,False,False,False,False
False,0,948587,False,True,False,False,False,False,False,False
True,0,791684,False,False,False,False,False,True,False,False
False,0,789482,False,True,True,False,False,False,False,False
False,1,848574,False,False,False,False,False,True,False,True
False,1,844191,False,True,False,False,False,False,False,False
False,1,1157836,False,False,False,False,False,False,False,False
False,1,1746135,False,False,False,False,False,False,False,False
False,1,1630093,False,False,False,False,False,False,False,False
False,0,1642395,False,False,False,False,False,False,False,False
False,1,1561542,False,False,False,False,False,False,False,False
False,1,1291573,True,False,False,False,True,False,False,False
True,1,1697941,False,False,False,False,False,False,False,False
False,1,1842954,True,False,False,False,False,False,False,False
True,1,1720454,False,False,False,False,False,False,False,False
False,1,3176993,False,True,False,False,True,False,False,False
True,4,3311289,False,False,False,False,False,False,False,False
False,4,3206990,True,False,False,True,False,False,False,False
False,4,3225763,False,True,False,False,True,False,False,False
False,0,2907777,False,False,False,True,False,True,False,False
True,0,2932840,False,True,False,False,False,False,False,False
False,0,3018603,False,False,False,False,False,True,False,False
True,0,3351110,True,True,False,False,True,False,False,False
True,0,3818540,False,False,False,True,False,False,False,False
True,0,3055208,False,False,False,False,False,False,False,False
False,0,2923549,False,False,False,False,False,False,False,False
False,0,2699756,False,False,False,False,False,True,False,False
True,0,3339585,False,True,False,False,False,False,False,False
False,0,2607735,True,False,False,False,True,False,False,False
True,0,2403774,False,False,False,True,False,False,False,False
False,0,2579553,False,True,False,False,True,False,False,False
False,0,2565398,False,False,False,False,False,False,False,False
False,0,3413147,False,False,False,False,False,True,False,False
True,0,2545165,False,True,False,False,False,False,False,False
False,0,3219315,True,False,False,False,True,False,False,False
True,0,2482533,False,False,False,False,False,False,False,False
True,0,2754572,False,False,False,True,False,False,False,False
True,0,1929575,False,False,False,False,False,False,False,False
True,0,2519533,False,False,False,False,False,False,False,False
True,0,1983487,False,False,False,False,False,False,False,False
True,7,2077101,False,False,False,False,False,False,False,False
False,7,2261880,False,False,False,False,False,False,False,False
False,0,2167133,False,False,False,True,False,False,False,False
True,0,1631656,False,True,False,False,False,False,False,False
True,0,1533478,False,False,False,False,False,True,False,False
True,0,1674856,True,False,False,False,False,False,False,False
False,0,3529743,False,False,False,False,False,False,False,False
True,1,3502479,False,False,False,False,False,False,False,False
False,1,2911686,False,True,False,False,False,False,False,False
False,1,1660348,False,False,False,False,False,False,False,False
False,0,2483066,False,False,False,False,False,False,False,False
True,0,2339635,False,False,True,False,False,False,False,False
False,0,1968591,True,False,False,False,True,False,False,False
False,2,1692688,False,False,True,False,False,False,False,False
False,2,1391518,True,False,False,True,False,False,False,False
True,2,1833494,False,True,False,False,False,False,False,False
True,2,1650616,False,False,False,False,False,False,False,False
False,2,1543294,True,False,False,False,True,False,False,False
False,2,1618224,False,False,False,False,False,False,False,False
False,2,1170778,False,True,True,False,False,False,False,False
False,0,1314873,False,False,False,False,False,False,False,False
False,2,1076088,False,False,False,False,False,False,False,False
True,1,1189360,False,False,False,False,False,False,False,False
False,1,1192123,True,False,False,False,False,False,False,False
False,1,1002696,False,True,False,False,False,False,False,False
False,1,1572648,False,False,False,False,False,False,False,False
True,1,1090978,False,False,False,False,False,False,False,False
False,1,999970,False,False,False,False,False,True,True,False
True,1,655523,True,True,False,False,True,False,False,False
False,1,674381,False,False,False,False,False,False,False,False
False,1,707187,False,True,False,False,False,False,False,False
True,1,842947,False,False,True,False,False,False,False,False
False,0,3374436,False,False,False,True,False,True,False,False
True,0,2080643,True,True,False,False,True,False,False,False
True,0,1119922,False,False,False,False,False,False,False,False
True,0,1540638,False,False,False,False,False,False,False,False
True,0,1173709,False,False,False,False,False,False,False,False
False,0,1118201,False,False,False,False,False,False,False,False
False,0,1109353,False,False,False,False,False,True,False,False
True,0,982834,True,True,False,False,True,False,False,False
True,0,1219418,False,False,False,False,False,True,False,False
False,0,1466080,True,False,False,False,False,False,False,False
False,0,1038844,False,False,False,False,False,False,False,False
